sentence_1,sentence_2,label,type
පොලිසිය සැකකරු අත්අඩංගුවට ගත්තේය,පොලිසිය සැකකරු අත්අඩංගුවට ගත්තේය,1,identical
ගොවීහු සිය අස්වැන්න නෙළා ගැනීමට පටන් ගත්හ,ගොවීහු සිය අස්වැන්න නෙළා ගැනීමට පටන් ගත්හ,1,identical
වාහන තදබදය නිසා ගමන ප්‍රමාද විය,වාහන තදබදය නිසා ගමන ප්‍රමාද විය,1,identical
විද්‍යාඥයන් නව සොයාගැනීමක් එළිදැක්වීය,විද්‍යාඥයන් නව සොයාගැනීමක් එළිදැක්වීය,1,identical
දරුවන් පාසලෙන් පසු ක්‍රීඩා පිටියේ රැඳී සිටියහ,දරුවන් පාසලෙන් පසු ක්‍රීඩා පිටියේ රැඳී සිටියහ,1,identical
නවකතාකරුවා සිය නවතම කෘතිය එළිදැක්වීය,නවකතාකරුවා සිය නවතම කෘතිය එළිදැක්වීය,1,identical
දේශපාලනඥයා ජනතාව ඇමතීය,දේශපාලනඥයා ජනතාව ඇමතීය,1,identical
මම මේ පොත ඊයේ කියෙව්වා,මම මේ පොත ඊයේ කියෙව්වා,1,identical
ගුරුවරිය සිසුන්ට පැවරුමක් ලබා දුන්නාය,ගුරුවරිය සිසුන්ට පැවරුමක් ලබා දුන්නාය,1,identical
අද උදෑසන කාලගුණය ඉතා යහපත් විය,අද උදෑසන කාලගුණය ඉතා යහපත් විය,1,identical
සූර්ය බලශක්තිය යනු පරිසර හිතකාමී බලශක්ති ප්‍රභවයකි,සූර්ය බලශක්තිය යනු පරිසර හිතකාමී බලශක්ති ප්‍රභවයකි,1,identical
ඔහු බසයට නැගී නගරය බලා ගියේය,ඔහු බසයට නැගී නගරය බලා ගියේය,1,identical
සෞඛ්‍ය අමාත්‍යාංශය නව මාර්ගෝපදේශ නිකුත් කළේය,සෞඛ්‍ය අමාත්‍යාංශය නව මාර්ගෝපදේශ නිකුත් කළේය,1,identical
පාර්ලිමේන්තුවේ වැදගත් විවාදයක් පැවැත්විණි,පාර්ලිමේන්තුවේ වැදගත් විවාදයක් පැවැත්විණි,1,identical
අපගේ ආර්ථිකය සීඝ්‍රයෙන් වර්ධනය වෙමින් පවතී,අපගේ ආර්ථිකය සීඝ්‍රයෙන් වර්ධනය වෙමින් පවතී,1,identical
කලාකරුවා අලංකාර සිතුවමක් නිර්මාණය කළේය,කලාකරුවා අලංකාර සිතුවමක් නිර්මාණය කළේය,1,identical
