sentence_1,sentence_2,label,source
ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,1.0,identity
"ශ්‍රී ලංකාව සෙරන්ඩිබ්, සිලොන්, දීප්තිමත් දිවයින, ධර්ම දිවයින, ඉන්දියන් සාගරයේ මුතු ඇටය නමින්ද හදුන්වයි","ශ්‍රී ලංකාව සෙරන්ඩිබ්, සිලොන්, දීප්තිමත් දිවයින, ධර්ම දිවයින, ඉන්දියන් සාගරයේ මුතු ඇටය නමින්ද හදුන්වයි",1.0,identity
කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,1.0,identity
AI තාක්ෂණය අනාගතයේ වැදගත් භූමිකාවක් ඉටු කරනු ඇත,කරන්ට් එක අරපිරිමැස්මෙන් පාවිච්චි කිරීම මුදල් මෙන්ම රටේ සම්පත්ද ඉතිරි කිරීමකි,0.2,unrelated
හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,0.12,unrelated
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,වන විනාශය හේතුවෙන් ගෝලීය උෂ්ණත්වය ඉහළ යාමේ තර්ජනයක් මතුව ඇත,0.7,existing
රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,විශ්වයේ රහස් සොයා ගැනීම සඳහා සිදුකරන ගවේෂණ මගින් අලුත් දත්ත රාශියක් ලැබේ,0.06,unrelated
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0,existing
විදේශ ආයෝජන මගින් රටකට නව තාක්ෂණය සහ ප්‍රාග්ධනය ලැබේ,වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,0.0,existing
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,1.0,identity
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,0.05,unrelated
ස්වභාවධර්මයේ සමතුලිත බව පවත්වා ගැනීම අනාගත දරුවන් වෙනුවෙන් කරන වැඩකි,ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,0.28,unrelated
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,0.28,unrelated
