ID,word,synonym word
SY0001,මව,අම්මා  
SY0002,මව,මාතාව 
SY0003,මව,මෑණිය  
SY0004,ගුරු,ආචාර්ය  
SY0005,ගුරු,උපදේශක  
SY0006,ගුරු,ශික්ෂක  
SY0007,බාල,කුඩා  
SY0008,ලෝකය,පෘථිවිය  
SY0009,ලෝකය,විශ්වය  
SY0010,මිතුරා,යහළුවා  
SY0011,මිතුරා,සකි 
SY0012,මිතුරා,මිත්‍රයා
SY0013,ගග,දොළ  
SY0014,ගග,ඔය  
SY0015,ගග,නදිය  
SY0016,අදහස්,සංවේදන  
SY0017,අදහස්,අර්ථ
SY0018,අදහස්,දෘශ්ටිය  
SY0019,නුවණ,ප්‍රඥාව  
SY0020,නුවණ,දැනුම  
SY0021,සතුට,ආනන්දය  
SY0022,සතුට,ප්‍රීතිය  
SY0023,දුක්,වෙදනාව 
SY0024,දුක්,දුක 
SY0025,ඇඟ,ශරීරය 
SY0026,ඇඟ,සිරුර 
SY0027,ඇඟ,කය 
SY0028,කුරුල්ලා,පක්ෂියා
SY0029,කඳ,දේහය 
SY0030,ගෙදර,නිවස 
SY0031,ගෙදර,නිවහන​
SY0032,ගෙදර,නිවාසය
SY0033,මනුෂ්‍යයා,මිනිසා 
SY0034,මනුෂ්‍යයා,මනුස්සයා
SY0035,කාලය,වේලාව 
SY0036,අඳුරු,කලුවර​
SY0037,අඳුරු,අන්ධකාරය​
SY0038,ඇල,ඔය 
SY0039,ඇල,නදිය 
SY0040,ඇල,දොළ 
SY0041,අරුණ,උදාව 
SY0042,අරුණ,උදෑසන 
SY0043,අරුණ,උදේ 
SY0044,ගුරුතුමා,ගුරුමහත්මිය 
SY0045,ගුරුතුමා ,ආචාර්යාව 
SY0046,ගුරුතුමා,ගුරුමහතා
SY0047,ගුරුතුමා ,උපදේශකයා
SY0048,දරුවා,ළමයා 
SY0049,පුත්‍රයා,පුතු
SY0050,කුමාරයා,කුමරු
SY0051,දියණිය,දුව​
SY0052,දියණිය ,දූ
SY0053,කුමරිය​,කුමාරිය​
SY0054,කඳු,ගිරි 
SY0055,කඳු ,ගිරිකන්ද 
SY0056,කඳු,කන්ද 
SY0057,ගඟ ,නදිය 
SY0058,ගඟ,ඔය 
SY0059,ගඟ,දොළ
SY0060,පස,බිම 
SY0061,පස ,භූමි 
SY0062,අහස,ගගන 
SY0063,අහස,වියන 
SY0064,අහස,ආකාසය​
SY0065,දිය,ජලය 
SY0066,දිය,වතුර​
SY0067,දිය,පැන්
SY0068,දිය,පිණි 
SY0069,පොත් ,ග්‍රන්ථ 
SY0070,පොත්,පුස්ත​
SY0071,පොත්,පිටපත් 
SY0072,අත් ,හස්ත 
SY0073,අත්,දළ
SY0074,ඇස්,නේත්‍ර 
SY0075,ඇස් ,නෙත් 
SY0076,ඇස,නේත්‍රය 
SY0077,වචන ,පද 
SY0078,වචනය​,වදන​
SY0079,වචන,වදන් 
SY0080,කතා,කතනදර​
SY0081,කතාව,කාව්‍යය​
SY0082,කතා ,කාව්‍ය
SY0083,කතාව,කතනදර​ය
SY0084,නගරය ,පුරය 
SY0085,නගරය,ප්‍රාන්තය 
SY0086,නගරය ,පුරවරය 
SY0087,පර්යේෂණය,අධ්‍යයනය
SY0088,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0089,පර්යේෂණය,විමර්ශනය
SY0090,අධ්‍යයනය,අධ්‍යාපනය
SY0091,අධ්‍යයනය,පර්යේෂණය
SY0092,ඇගයීම,විශ්ලේෂණය
SY0093,ඇගයීම,විමර්ශනය
SY0094,අගය කිරීම,ඇගයීම
SY0095,නිගමනය,නිෂ්කර්ෂය
SY0096,නිගමනය,අවසාන තීරණය
SY0097,නිර්දේශය,යෝජනාව
SY0098,නිර්දේශය,උපදෙස්
SY0099,සාකච්ඡාව,සංවාදය
SY0100,සාකච්ඡාව,විවාදය
SY0101,විශ්ලේෂණය,විමර්ශනය
SY0102,විශ්ලේෂණය,විචාරය
SY0103,දත්ත,තොරතුරු
SY0104,දත්ත,විස්තර
SY0105,ප්‍රතිඵල,නිමාව
SY0106,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0107,පරිකල්පනය,උපකල්පනය
SY0108,උපකල්පනය,සංකල්පය
SY0109,අරමුණ,ඉලක්කය
SY0110,අරමුණ,පරමාර්ථය
SY0111,උපදෙස්,අනුශාසනය
