sentence_1,sentence_2,label,type,base_similarity,fine_tuned_similarity
පොලිසිය සැකකරු අත්අඩංගුවට ගත්තේය,පොලිසිය සැකකරු අත්අඩංගුවට ගත්තේය,1.0,identical,1.0,1.0
ගොවීහු සිය අස්වැන්න නෙළා ගැනීමට පටන් ගත්හ,ගොවීහු සිය අස්වැන්න නෙළා ගැනීමට පටන් ගත්හ,1.0,identical,1.0,0.9999999
වාහන තදබදය නිසා ගමන ප්‍රමාද විය,වාහන තදබදය නිසා ගමන ප්‍රමාද විය,1.0,identical,1.0000001,0.99999994
විද්‍යාඥයන් නව සොයාගැනීමක් එළිදැක්වීය,විද්‍යාඥයන් නව සොයාගැනීමක් එළිදැක්වීය,1.0,identical,1.0,0.9999999
දරුවන් පාසලෙන් පසු ක්‍රීඩා පිටියේ රැඳී සිටියහ,දරුවන් පාසලෙන් පසු ක්‍රීඩා පිටියේ රැඳී සිටියහ,1.0,identical,1.0000001,0.99999994
නවකතාකරුවා සිය නවතම කෘතිය එළිදැක්වීය,නවකතාකරුවා සිය නවතම කෘතිය එළිදැක්වීය,1.0,identical,1.0,1.0
දේශපාලනඥයා ජනතාව ඇමතීය,දේශපාලනඥයා ජනතාව ඇමතීය,1.0,identical,1.0,1.0
මම මේ පොත ඊයේ කියෙව්වා,මම මේ පොත ඊයේ කියෙව්වා,1.0,identical,1.0,1.0000001
ගුරුවරිය සිසුන්ට පැවරුමක් ලබා දුන්නාය,ගුරුවරිය සිසුන්ට පැවරුමක් ලබා දුන්නාය,1.0,identical,0.99999994,1.0
අද උදෑසන කාලගුණය ඉතා යහපත් විය,අද උදෑසන කාලගුණය ඉතා යහපත් විය,1.0,identical,0.9999999,0.9999998
සූර්ය බලශක්තිය යනු පරිසර හිතකාමී බලශක්ති ප්‍රභවයකි,සූර්ය බලශක්තිය යනු පරිසර හිතකාමී බලශක්ති ප්‍රභවයකි,1.0,identical,1.0000002,1.0
ඔහු බසයට නැගී නගරය බලා ගියේය,ඔහු බසයට නැගී නගරය බලා ගියේය,1.0,identical,0.99999994,1.0000001
සෞඛ්‍ය අමාත්‍යාංශය නව මාර්ගෝපදේශ නිකුත් කළේය,සෞඛ්‍ය අමාත්‍යාංශය නව මාර්ගෝපදේශ නිකුත් කළේය,1.0,identical,1.0,0.99999994
පාර්ලිමේන්තුවේ වැදගත් විවාදයක් පැවැත්විණි,පාර්ලිමේන්තුවේ වැදගත් විවාදයක් පැවැත්විණි,1.0,identical,0.9999999,0.9999999
අපගේ ආර්ථිකය සීඝ්‍රයෙන් වර්ධනය වෙමින් පවතී,අපගේ ආර්ථිකය සීඝ්‍රයෙන් වර්ධනය වෙමින් පවතී,1.0,identical,1.0000001,0.99999976
කලාකරුවා අලංකාර සිතුවමක් නිර්මාණය කළේය,කලාකරුවා අලංකාර සිතුවමක් නිර්මාණය කළේය,1.0,identical,1.0,0.99999994
සංචාරකයෝ පුරාණ විහාරය නැරඹීමට පැමිණියහ,සංචාරකයෝ පුරාණ විහාරය නැරඹීමට පැමිණියහ,1.0,identical,1.0000001,0.99999994
තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,1.0,identical,0.9999998,1.0000002
කැරැල්ල දැඩි ලෙස මර්දනය කරන ලදී,කැරැල්ල දැඩි ලෙස මර්දනය කරන ලදී,1.0,identical,1.0,1.0
ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,1.0,identical,0.99999994,1.0
ප්‍රදේශවාසීහු ස්වේච්ඡාවෙන් පාර පිරිසිදු කළහ,ප්‍රදේශවාසීහු ස්වේච්ඡාවෙන් පාර පිරිසිදු කළහ,1.0,identical,0.9999999,1.0
සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,1.0,identical,0.99999994,1.0
වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,1.0,identical,0.9999999,1.0
ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,1.0,identical,1.0,1.0000001
සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,1.0,identical,1.0,1.0
රජය නව නීති මාලාවක් ක්‍රියාත්මක කළා,ආණ්ඩුව අළුත් නීති මාලාවක් ක්‍රියාවට නැංවීය,0.8,light_paraphrase,0.952634,0.8314317
දරුවන් උද්‍යානයේ සෙල්ලම් කරමින් සිටියහ,ළමයි උයනේ සෙල්ලම් කරමින් හිටියා,0.8,light_paraphrase,0.9326991,0.84677243
වාර්තාව ඊයේ ප්‍රකාශයට පත් කරන ලදී,සම්පූර්ණ වාර්තාව ඊයේ එළිදැක්වූවා,0.8,light_paraphrase,0.95475423,0.855977
සමාගම නව වෙළඳපොළවල් සොයමින් සිටී,සමාගම අලුත් වෙළඳපලවල් ගවේෂණය කරමින් සිටිනවා,0.8,light_paraphrase,0.8522933,0.87540936
ශිෂ්‍යයා තම විභාගය සඳහා හොඳින් සූදානම් විය,ශිෂ්‍යයා තම පරීක්ෂණය වෙනුවෙන් හොඳින් සූදානම් වුණා,0.8,light_paraphrase,0.9611513,0.88141763
ගඟ අවට වනාන්තරයේ ගස් ගණනාවක් තිබේ,ගඟ අසල වනයේ ගස් කීපයක් තියෙනවා,0.8,light_paraphrase,0.8774177,0.83785033
ඔවුන් පල්ලියේ සාමකාමීව රැස් වූහ,ඔවුන් දේවස්ථානයේ නිශ්ශබ්දව එකතු වුණා,0.8,light_paraphrase,0.8637694,0.73551965
විශාල බස් රථයක් පාරේ ගමන් කළේය,විශාල බස් එකක් පාරේ ගියා,0.8,light_paraphrase,0.9583084,0.96820545
සංගීතය ශාලාවේ පැතිර ගියේය,සංගීතය මුළු ශාලාව පුරා පැතිරී තිබුණා,0.8,light_paraphrase,0.92584944,0.8967838
වෛද්‍යවරයා රෝගියාට ප්‍රතිකාර කළේය,වෛද්‍යවරයා ලෙඩාට බෙහෙත් කළා,0.8,light_paraphrase,0.7323302,0.9765794
පාසලේ විදුහල්පතිතුමා දරුවන්ට කතා කළේය,පාසලේ ප්‍රධානීවරයා දරුවන් ඇමතීය,0.8,light_paraphrase,0.9713054,0.7364886
මාධ්‍යවේදියා ප්‍රවෘත්ති වාර්තා කළේය,මාධ්‍යවේදියා පුවත් වාර්තා කළා,0.8,light_paraphrase,0.8813746,0.98960376
