text,label
තාක්ෂණයේ දියුණුවත් සමඟ මිනිසාගේ ජීවන රටාව විශාල ලෙස වෙනස් වී ඇත.,0
මම ඊයේ ටවුමට ගියා බඩු වගයක් ගන්න.,1
අලුත් ටෙක්නොලොජි දියුණු වුණාම මිනිස්සුන්ගේ ජීවිත ගොඩක් වෙනස් වෙලා තියෙනවා.,2
තාක්ෂණයේ දියුණුවත් සමඟ මිනිස්සුන්ගේ ලයිෆ් ස්ටයිල් එක ගොඩක් වෙනස් වුණා.,3
අධ්‍යාපනය යනු අනාගතය ජය ගැනීම සඳහා ඇති ප්‍රබලම ආයුධයයි.,0
ඉගෙන ගන්න එක හොඳයි. පාසල් යන්න. පොත් කියවන්න.,1
ඉගෙන ගන්න එක තමයි ඉස්සරහට යන්න තියෙන ලොකුම හයිය.,2
අධ්‍යාපනය යනු අනාගතය ජය ගැනීම සඳහා ඇති ලොකුම හයිය කියලා කියන්න පුළුවන්.,3
ශ්‍රී ලංකාව යනු සුන්දර වෙරළ තීරයන් සහ හරිත කඳුකරයෙන් පිරුණු දිවයිනකි.,0
ලංකාව ලස්සන රටක්. මුහුද තියෙනවා. කඳු තියෙනවා.,1
ලංකාව කියන්නේ ලස්සන මුහුදු වෙරළවල් වගේම කොළ පාට කඳු තියෙන රටක්.,2
ශ්‍රී ලංකාව යනු සුන්දර වෙරළ තීරයන් තියෙන හරිම ලස්සන දිවයිනක්.,3
අතීතයේ සිටම ශ්‍රී ලාංකිකයෝ කෘෂිකර්මාන්තය තම ප්‍රධාන ජීවනෝපාය ලෙස තෝරා ගත්හ.,0
ඉස්සර ඉඳලම ලංකාවේ මිනිස්සු කළේ ගොවිතැන් බත් කරන එක.,2
අතීතයේ සිටම ශ්‍රී ලාංකිකයෝ ගොවිතැන් බත් කරන එක තමයි ප්‍රධාන වෘත්තිය කරගත්තේ.,3
සොබාදහම රැකගැනීම අප සැමගේ යුතුකම මෙන්ම වගකීමක් ද වන්නේය.,0
පරිසරය ආරක්ෂා කරන එක අපේ වගකීමක් වගේම කරන්න ඕන දෙයක්.,2
සොබාදහම රැකගැනීම අපේ හැමෝගෙම වගකීමක් කියලා කියන්න ඕනේ.,3
ශ්‍රී ලංකාවේ වර්තමාන ආර්ථික අර්බුදය හමුවේ රජය නව බදු ප්‍රතිසංස්කරණ හඳුන්වා දී ඇත.,0
ලංකාවේ දැන් තියෙන සල්ලි ප්‍රශ්න නිසා ආණ්ඩුව අලුත් ටැක්ස් ජාති දාලා තියෙනවා.,2
ශ්‍රී ලංකාවේ වර්තමාන ආර්ථික අර්බුදය නිසා ආණ්ඩුව අලුත් ටැක්ස් වර්ග දාලා තියෙනවා.,3
සංචාරක කර්මාන්තය දියුණු කිරීමෙන් විදේශ විනිමය උපයා ගත හැකිය.,0
ටුවරිස්ට්ලා ගොඩක් එන එකෙන් අපේ රටට සල්ලි හොයන්න පුළුවන්.,2
සංචාරක කර්මාන්තය දියුණු කරලා රටට සල්ලි හොයන්න පුළුවන් කියලා හිතනවා.,3
පරිසර දූෂණය අවම කිරීමට විකල්ප බලශක්ති ප්‍රභවයන් භාවිතා කළ යුතුය.,0
කුණු දාන එක අඩු කරන්න අලුත් පවර් මෙතඩ්ස් පාවිච්චි කරන්න ඕනේ.,2
පරිසර දූෂණය අවම කිරීමට අලුත් පවර් මෙතඩ්ස් පාවිච්චි කරන්න ඕනේ.,3
